id,q,rating,rating_reason,path,topscore,autolabel,autoreason,current_url,current_html,fix_reason,new_url,new_html
faq-016,"보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?",Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,현대 인증중고차 (certified.hyundai.com) 의 내차팔기 서비스를 통해 판매할 수 있습니다.,URL_WRONG | 잘못된/죽은 링크 교체,https://certified.hyundai.com/p/display/main,고객님 차량은 <b>현대 인증중고차 내차팔기 서비스</b>를 통해 쉽고 안전하게 판매하실 수 있습니다. 온라인에서 차량 정보를 입력하면 전문 평가 후 견적을 확인하실 수 있습니다.
faq-002,포인트는 어떻게 활용하나요?,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"포인트는 블루멤버스 사이트 내에서 현금 처럼 사용 하실 수 있으며, 고객님께서 블루핸즈 서비스를 받으실 때도 현금처럼 지불 하실 수 있습니다",URL_WRONG | 잘못된/죽은 링크 교체,https://www.hyundai.com/kr/ko/service-membership/bluemembers/bluemembers-point/point-saveuse,"포인트는 블루멤버스 사이트 내에서 현금 처럼 사용 하실 수 있으며, 고객님께서 블루핸즈 서비스를 받으실 때도 현금처럼 지불 하실 수 있습니다"
faq-003,폐차 의뢰 및 신청은 어떻게 하나요?,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,서비스/멤버십 > 내차 항목의 '친환경 폐차 신청'으로 들어가셔서 신청하시는 것이 가장 신속하고 정확합니다. 인터넷 신청이 불편하시면 유선전화 (1544-2738)로 문의하셔서 폐차 신청을 할 수 있습니다.,URL_WRONG | 잘못된/죽은 링크 삭제,,서비스/멤버십 > 내차 항목의 '친환경 폐차 신청'으로 들어가셔서 신청하시는 것이 가장 신속하고 정확합니다. 인터넷 신청이 불편하시면 유선전화 (1544-2738)로 문의하셔서 폐차 신청을 할 수 있습니다.
faq-004,차량구입시 신용카드는 얼마까지 이용할 수 있나요?,Bad,,RAG,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,▶ 자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도내에서 희망하시는 금액 까지 자유로이 결제가 가능합니다.,URL_WRONG | 잘못된/죽은 링크 교체,https://www.hyundai.com/kr/ko/e/vehicles/purchase-consult,▶ 자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도내에서 희망하시는 금액 까지 자유로이 결제가 가능합니다.
faq-005,차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"▶ 예, 가능합니다. 신용카드 갯수에 제한없이 결제가 가능합니다.",URL_WRONG | 잘못된/죽은 링크 교체,https://www.hyundai.com/kr/ko/e/vehicles/purchase-consult,"예, 차량 구입 시에는 여러 장의 신용카드를 사용해 결제가 가능합니다. 다만, 각 카드사별로 승인 한도나 결제 조건이 다를 수 있으므로, 사전 확인 후 진행하시면 원활하게 결제하실 수 있습니다."
faq-006-c,세이브오토 이용에 관해 알고 싶습니다.,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"▶ 현대자동차 신차 구입 시 Hyundai Mobility카드를 이용하는 경우차량구매 대금 중 일부를 해당 포인트(20만/30만/50만)만큼 先할인해 드립니다先할인 받으신 금액은 이후 36개월 동안 고객님의 Hyundai Mobility카드 사용실적에 따라 적립되는포인트로 상환하시게 되며, 미상환하신 경우 익월 카드대금 청구 시 전액 청구됩니다.블루 세이브-오토 프로그램은 적용을 원하시는 고객께서 신청하시는 경우에만 적용되고이용기간 중 미상환하신 포인트에 대한 대금청구 시 이자는 부과되지 않습니다.",TERM_UPDATE | 내용 요약,,"세이브오토는 신차 구입 시 Hyundai Mobility카드로 결제하면 차량 대금의 일부(20만/30만/50만 포인트)를 선할인해주는 제도입니다. 이후 36개월 동안 카드 사용 실적에 따라 포인트로 상환하며, 미상환 시 익월 카드대금에 청구됩니다. 신청 고객에 한해 적용되며, 이자는 부과되지 않습니다."
faq-007,차량에 부과되는 세금은 어떤 종류가 있나요?,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"▶ 현행 자동차관련 세금항목은 다음과 같습니다. ① 구입단계 : 개별소비세(8인승 이하 승용차限), 교육세(개소세의 30%), 부가가치세 ② 등록단계 : 등록세,취득세 ③ 소유단계 : 자동차세(연단위 부여) ④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세 ⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차限)",URL_WRONG | 잘못된/죽은 링크 삭제,,"▶ 현행 자동차관련 세금항목은 다음과 같습니다. ① 구입단계 : 개별소비세(8인승 이하 승용차限), 교육세(개소세의 30%), 부가가치세 ② 등록단계 : 등록세,취득세 ③ 소유단계 : 자동차세(연단위 부여) ④ 유류관련 : 교통세, 주행세, 교육세, 부가가치세 ⑤ 기타 : 공채매입, 환경개선비용부담금(해당자동차限)"
faq-008,신차 구매 시 타던 차량을 반납하면 신차 할인 받을 수 있나요?,Bad,,RAG,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,현대 인증중고차의 내차팔기 서비스와 연계하여 신차 할인과 중고차 추가 보상 혜택을 받을 수 있습니다.자세한 사항은 [이벤트> 진행중 이벤트]를 통해 확인해 주세요.,URL_WRONG | 잘못된/죽은 링크 교체,https://www.hyundai.com/kr/ko/event,"네, 신차 구매 시 기존 차량을 반납하면 현대 인증중고차 내차팔기 서비스와 연계해 신차 할인과 추가 보상 혜택을 받을 수 있습니다. 자세한 내용은 진행 중인 이벤트에서 확인하실 수 있습니다."
faq-009-b,차량구입시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?,Bad,,RAG,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"의무보험은 차량이 출고센터를 동해 출고되어 임시운행기간동안에만 유효한 보험입니다. 이는 임시운행 기간중 발생되는 교통사고 피해자의 피해배상 보장을 위한 자동차 손해배상 보장법 개정으로 임시운행허가 차량의 의무보험 가입이 법제화 되었습니다. 보상책임기간은 출고일부터 임시운행허가 기간인 10일(기간 만료일 24시까지)동안이고보험료는 차종별 정액보험료가 적용됩니다. (대부분의 경우 1만원 이내) 따라서 차량을 구입하신 고객께서는 임시운행허가기간 종료 이전에 1년만기 책임보험, 혹은 종합보험에 반드시 가입하셔야 합니다. 의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나 다른 책임보험에 가입하시는 경우 자동으로 해지가 됩니다.",TERM_UPDATE | 내용 요약,,"의무보험은 차량 출고 후 임시운행 기간(약 10일) 동안만 유효한 단기 보험으로, 교통사고 피해자 보장을 위해 법적으로 가입이 의무화되어 있습니다. 차종별 정액보험료(보통 1만원 이내)가 적용되며, 이후에는 반드시 책임보험이나 종합보험에 가입해야 합니다."
faq-010-b,현대자동차 차량을 구입하려면 어떻게 해야하나요?,Bad,,Fallback,0,Bad,,https://www.hyundai.com/kr/ko/e/customer/center/faq,"현대자동차에서는 전국 정식 지점/대리점을 통해서만 차량을 판매하고 있습니다. 그 이외의 유통경로(인터넷 등)로는 차량 공급이 되지 않사오니 차량 구입시 주의해주시기 바라며 전국 어느곳에서나 같은 제품,같은 가격으로 바른거래를 실천하고 있습니다. 참고로, 현대자동차 홈페이지 구매상담 신청을 이용시 고객님께서 원하시는 지점,대리점을 선택하여 상담신청을 하시면 현대자동차의 전문영업사원이 신속하고 친절하게 차량구매에 관한 모든 궁금증을 해결해 드리겠습니다.",TERM_UPDATE | 내용 요약,https://www.hyundai.com/kr/ko/e/vehicles/purchase-consult,"현대자동차 차량은 전국 정식 지점/대리점을 통해서만 구매할 수 있으며, 모든 지점에서 동일한 가격으로 거래됩니다. 홈페이지에서 구매상담 신청 후 원하는 지점/대리점을 선택하면 전문 영업사원이 차량 구매 절차를 안내해 드립니다."
