No,Query,Intent Group,Expected (Gold),Path (RAG/OpenDomain/Fallback),Model,Rewrite Applied,TopScore,Retrieved IDs/Refs,Primary URL,Response (Raw),Tokens (in/out),Latency_ms,Label (Good/Partial/Bad/Fallback),Error Type (if any),Root Cause (expr/data/prompt/threshold/infra),Fix Type (rewrite/data/prompt/threshold/other),Action Detail,Owner,Status (todo/done),Notes
"1","보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","124","Bad","","","","","","todo",""
"2","포인트는 어떻게 활용하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"3","폐차 의뢰 및 신청은 어떻게 하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"4","차량구입시 신용카드는 얼마까지 이용할 수 있나요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"5","차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"6","세이브오토 이용에 관해 알고 싶습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"7","차량에 부과되는 세금은 어떤 종류가 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"8","신차 구매 시 타던 차량을 반납하면 신차 할인 받을 수 있나요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"9","차량구입시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"10","현대자동차 차량을 구입하려면 어떻게 해야하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"11","차량대금을 신용카드로 결제할 경우 소득공제가 가능한가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","6","Bad","","","","","","todo",""
"12","자동차 리스로 차를 구매하고 싶어요","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","3","Bad","","","","","","todo",""
"13","현대자동차에서 중고차를 구매할 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"14","자동차 리스에 대해 알고 싶어요","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"15","현대자동차 신차구입시 사용할 수 있는 포인트는 뭐가 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"16","보유중인 자동차를 팔고 싶은데, 어떻게 하면 좋을까요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"17","본인 이외의 가족이 보유한 포인트를 사용할 수 있나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","7","Bad","","","","","","todo",""
"18","포인트의 유효기간은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"19","세이브오토를 취소하려고 하는데 취소 방법은 어떻게 되나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"20","장애인 조건으로 차량구입시 혜택을 알고 싶습니다.","","","Fallback","","false","0","","","현재 이용 가능한 혜택을 안내드릴게요.","","0","Bad","","","","","","todo",""
"21","고엽제 후유증 환자의 면세조건에 대해 알고 싶어요","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"22","광주민주화운동 부상자 면세조건에 대해 알고 싶습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"23","장애인 가족이 사망했을 경우 장애인용 LPG 차량은 어떻게 해야하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","5","Bad","","","","","","todo",""
"24","장애인차량 구입조건에 대해 알고 싶습니다.","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","4","Bad","","","","","","todo",""
"25","현재 장애인조건의 차량을 보유하고 있습니다. 장애인조건 차량의 추가구입이 가능하나요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","8","Bad","","","","","","todo",""
"26","세이브오토 및 M포인트 차감을 통해 차량가격을 할인받았습니다. 그런데 세금계산서상 금액과 차이가 있는데 왜 그런가요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"27","차량구입에 관련된 금액은 어떠한 결제방식이 있나요?","","","RAG","","false","0","","https://www.hyundai.com/kr/ko/e/vehicles/catalog-price-download","차량 가격은 모델·사양·시점에 따라 달라요. 공식 홈페이지 가격표를 확인해보시겠어요?  ※ 가격·보증·프로모션은 지역/시점/사양에 따라 상이하며, 공식 경로 기준입니다.","","0","Bad","","","","","","todo",""
"28","차량 대금을 신용카드로 결제하려고 합니다. 계약자 이외의 다른 사람의 카드로 결제가 가능한가요?","","","Fallback","","false","0","","","아직 학습 중이에요. 아래 메뉴에서 골라보시겠어요?","","9","Bad","","","","","","todo",""
